"task_id","run_id","imputation","cell_id","scenario","n","validated","m","k","chunk_id","chunks_per_cell","reps","reps_per_cell","base_seed"
1,"gs_parametric","parametric",1,"GS",2000,500,5,NA,1,25,100,2500,303100000
2,"gs_parametric","parametric",1,"GS",2000,500,5,NA,2,25,100,2500,303100100
3,"gs_parametric","parametric",1,"GS",2000,500,5,NA,3,25,100,2500,303100200
4,"gs_parametric","parametric",1,"GS",2000,500,5,NA,4,25,100,2500,303100300
5,"gs_parametric","parametric",1,"GS",2000,500,5,NA,5,25,100,2500,303100400
6,"gs_parametric","parametric",1,"GS",2000,500,5,NA,6,25,100,2500,303100500
7,"gs_parametric","parametric",1,"GS",2000,500,5,NA,7,25,100,2500,303100600
8,"gs_parametric","parametric",1,"GS",2000,500,5,NA,8,25,100,2500,303100700
9,"gs_parametric","parametric",1,"GS",2000,500,5,NA,9,25,100,2500,303100800
10,"gs_parametric","parametric",1,"GS",2000,500,5,NA,10,25,100,2500,303100900
11,"gs_parametric","parametric",1,"GS",2000,500,5,NA,11,25,100,2500,303101000
12,"gs_parametric","parametric",1,"GS",2000,500,5,NA,12,25,100,2500,303101100
13,"gs_parametric","parametric",1,"GS",2000,500,5,NA,13,25,100,2500,303101200
14,"gs_parametric","parametric",1,"GS",2000,500,5,NA,14,25,100,2500,303101300
15,"gs_parametric","parametric",1,"GS",2000,500,5,NA,15,25,100,2500,303101400
16,"gs_parametric","parametric",1,"GS",2000,500,5,NA,16,25,100,2500,303101500
17,"gs_parametric","parametric",1,"GS",2000,500,5,NA,17,25,100,2500,303101600
18,"gs_parametric","parametric",1,"GS",2000,500,5,NA,18,25,100,2500,303101700
19,"gs_parametric","parametric",1,"GS",2000,500,5,NA,19,25,100,2500,303101800
20,"gs_parametric","parametric",1,"GS",2000,500,5,NA,20,25,100,2500,303101900
21,"gs_parametric","parametric",1,"GS",2000,500,5,NA,21,25,100,2500,303102000
22,"gs_parametric","parametric",1,"GS",2000,500,5,NA,22,25,100,2500,303102100
23,"gs_parametric","parametric",1,"GS",2000,500,5,NA,23,25,100,2500,303102200
24,"gs_parametric","parametric",1,"GS",2000,500,5,NA,24,25,100,2500,303102300
25,"gs_parametric","parametric",1,"GS",2000,500,5,NA,25,25,100,2500,303102400
26,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,1,25,100,2500,303200000
27,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,2,25,100,2500,303200100
28,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,3,25,100,2500,303200200
29,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,4,25,100,2500,303200300
30,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,5,25,100,2500,303200400
31,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,6,25,100,2500,303200500
32,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,7,25,100,2500,303200600
33,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,8,25,100,2500,303200700
34,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,9,25,100,2500,303200800
35,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,10,25,100,2500,303200900
36,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,11,25,100,2500,303201000
37,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,12,25,100,2500,303201100
38,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,13,25,100,2500,303201200
39,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,14,25,100,2500,303201300
40,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,15,25,100,2500,303201400
41,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,16,25,100,2500,303201500
42,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,17,25,100,2500,303201600
43,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,18,25,100,2500,303201700
44,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,19,25,100,2500,303201800
45,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,20,25,100,2500,303201900
46,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,21,25,100,2500,303202000
47,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,22,25,100,2500,303202100
48,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,23,25,100,2500,303202200
49,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,24,25,100,2500,303202300
50,"gs_parametric","parametric",2,"GS",4000,1000,5,NA,25,25,100,2500,303202400
51,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,1,25,100,2500,303300000
52,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,2,25,100,2500,303300100
53,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,3,25,100,2500,303300200
54,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,4,25,100,2500,303300300
55,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,5,25,100,2500,303300400
56,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,6,25,100,2500,303300500
57,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,7,25,100,2500,303300600
58,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,8,25,100,2500,303300700
59,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,9,25,100,2500,303300800
60,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,10,25,100,2500,303300900
61,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,11,25,100,2500,303301000
62,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,12,25,100,2500,303301100
63,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,13,25,100,2500,303301200
64,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,14,25,100,2500,303301300
65,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,15,25,100,2500,303301400
66,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,16,25,100,2500,303301500
67,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,17,25,100,2500,303301600
68,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,18,25,100,2500,303301700
69,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,19,25,100,2500,303301800
70,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,20,25,100,2500,303301900
71,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,21,25,100,2500,303302000
72,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,22,25,100,2500,303302100
73,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,23,25,100,2500,303302200
74,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,24,25,100,2500,303302300
75,"gs_parametric","parametric",3,"GS",6000,1500,5,NA,25,25,100,2500,303302400
76,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,1,25,100,2500,303400000
77,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,2,25,100,2500,303400100
78,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,3,25,100,2500,303400200
79,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,4,25,100,2500,303400300
80,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,5,25,100,2500,303400400
81,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,6,25,100,2500,303400500
82,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,7,25,100,2500,303400600
83,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,8,25,100,2500,303400700
84,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,9,25,100,2500,303400800
85,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,10,25,100,2500,303400900
86,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,11,25,100,2500,303401000
87,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,12,25,100,2500,303401100
88,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,13,25,100,2500,303401200
89,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,14,25,100,2500,303401300
90,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,15,25,100,2500,303401400
91,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,16,25,100,2500,303401500
92,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,17,25,100,2500,303401600
93,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,18,25,100,2500,303401700
94,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,19,25,100,2500,303401800
95,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,20,25,100,2500,303401900
96,"gs_parametric","parametric",4,"GS",8000,2000,5,NA,21,25,100,2500,303402000
