"task_id","run_id","imputation","cell_id","scenario","n","validated","m","k","chunk_id","chunks_per_cell","reps","reps_per_cell","base_seed"
1,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,1,50,50,2500,8500000
2,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,2,50,50,2500,8500050
3,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,3,50,50,2500,8500100
4,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,4,50,50,2500,8500150
5,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,5,50,50,2500,8500200
6,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,6,50,50,2500,8500250
7,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,7,50,50,2500,8500300
8,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,8,50,50,2500,8500350
9,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,9,50,50,2500,8500400
10,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,10,50,50,2500,8500450
11,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,11,50,50,2500,8500500
12,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,12,50,50,2500,8500550
13,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,13,50,50,2500,8500600
14,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,14,50,50,2500,8500650
15,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,15,50,50,2500,8500700
16,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,16,50,50,2500,8500750
17,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,17,50,50,2500,8500800
18,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,18,50,50,2500,8500850
19,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,19,50,50,2500,8500900
20,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,20,50,50,2500,8500950
21,"gs_n2000_full_20260901_r2","pmm",1,"GS",2000,500,5,5,21,50,50,2500,8501000
