"task_id","run_id","n","m","k","chunk_id","chunks_per_run","reps","reps_per_scenario","base_seed"
1,"rw_n150_m20_k5_20260902",150,20,5,1,50,50,2500,1.2e+07
2,"rw_n150_m20_k5_20260902",150,20,5,2,50,50,2500,12000050
3,"rw_n150_m20_k5_20260902",150,20,5,3,50,50,2500,12000100
4,"rw_n150_m20_k5_20260902",150,20,5,4,50,50,2500,12000150
5,"rw_n150_m20_k5_20260902",150,20,5,5,50,50,2500,12000200
6,"rw_n150_m20_k5_20260902",150,20,5,6,50,50,2500,12000250
7,"rw_n150_m20_k5_20260902",150,20,5,7,50,50,2500,12000300
8,"rw_n150_m20_k5_20260902",150,20,5,8,50,50,2500,12000350
9,"rw_n150_m20_k5_20260902",150,20,5,9,50,50,2500,12000400
10,"rw_n150_m20_k5_20260902",150,20,5,10,50,50,2500,12000450
11,"rw_n150_m20_k5_20260902",150,20,5,11,50,50,2500,12000500
12,"rw_n150_m20_k5_20260902",150,20,5,12,50,50,2500,12000550
13,"rw_n150_m20_k5_20260902",150,20,5,13,50,50,2500,12000600
14,"rw_n150_m20_k5_20260902",150,20,5,14,50,50,2500,12000650
15,"rw_n150_m20_k5_20260902",150,20,5,15,50,50,2500,12000700
16,"rw_n150_m20_k5_20260902",150,20,5,16,50,50,2500,12000750
17,"rw_n150_m20_k5_20260902",150,20,5,17,50,50,2500,12000800
18,"rw_n150_m20_k5_20260902",150,20,5,18,50,50,2500,12000850
19,"rw_n150_m20_k5_20260902",150,20,5,19,50,50,2500,12000900
20,"rw_n150_m20_k5_20260902",150,20,5,20,50,50,2500,12000950
21,"rw_n150_m20_k5_20260902",150,20,5,21,50,50,2500,12001000
22,"rw_n150_m20_k5_20260902",150,20,5,22,50,50,2500,12001050
23,"rw_n150_m20_k5_20260902",150,20,5,23,50,50,2500,12001100
24,"rw_n150_m20_k5_20260902",150,20,5,24,50,50,2500,12001150
25,"rw_n150_m20_k5_20260902",150,20,5,25,50,50,2500,12001200
26,"rw_n150_m20_k5_20260902",150,20,5,26,50,50,2500,12001250
27,"rw_n150_m20_k5_20260902",150,20,5,27,50,50,2500,12001300
28,"rw_n150_m20_k5_20260902",150,20,5,28,50,50,2500,12001350
29,"rw_n150_m20_k5_20260902",150,20,5,29,50,50,2500,12001400
30,"rw_n150_m20_k5_20260902",150,20,5,30,50,50,2500,12001450
31,"rw_n150_m20_k5_20260902",150,20,5,31,50,50,2500,12001500
32,"rw_n150_m20_k5_20260902",150,20,5,32,50,50,2500,12001550
33,"rw_n150_m20_k5_20260902",150,20,5,33,50,50,2500,12001600
34,"rw_n150_m20_k5_20260902",150,20,5,34,50,50,2500,12001650
35,"rw_n150_m20_k5_20260902",150,20,5,35,50,50,2500,12001700
36,"rw_n150_m20_k5_20260902",150,20,5,36,50,50,2500,12001750
37,"rw_n150_m20_k5_20260902",150,20,5,37,50,50,2500,12001800
38,"rw_n150_m20_k5_20260902",150,20,5,38,50,50,2500,12001850
39,"rw_n150_m20_k5_20260902",150,20,5,39,50,50,2500,12001900
40,"rw_n150_m20_k5_20260902",150,20,5,40,50,50,2500,12001950
41,"rw_n150_m20_k5_20260902",150,20,5,41,50,50,2500,12002000
42,"rw_n150_m20_k5_20260902",150,20,5,42,50,50,2500,12002050
43,"rw_n150_m20_k5_20260902",150,20,5,43,50,50,2500,12002100
44,"rw_n150_m20_k5_20260902",150,20,5,44,50,50,2500,12002150
45,"rw_n150_m20_k5_20260902",150,20,5,45,50,50,2500,12002200
46,"rw_n150_m20_k5_20260902",150,20,5,46,50,50,2500,12002250
47,"rw_n150_m20_k5_20260902",150,20,5,47,50,50,2500,12002300
48,"rw_n150_m20_k5_20260902",150,20,5,48,50,50,2500,12002350
49,"rw_n150_m20_k5_20260902",150,20,5,49,50,50,2500,12002400
50,"rw_n150_m20_k5_20260902",150,20,5,50,50,50,2500,12002450
