"task_id","run_id","imputation","n","m","k","chunk_id","chunks_per_run","reps","reps_per_scenario","base_seed"
1,"rw_parametric_n150","parametric",150,20,NA,1,50,50,2500,1001
2,"rw_parametric_n150","parametric",150,20,NA,2,50,50,2500,1051
3,"rw_parametric_n150","parametric",150,20,NA,3,50,50,2500,1101
4,"rw_parametric_n150","parametric",150,20,NA,4,50,50,2500,1151
5,"rw_parametric_n150","parametric",150,20,NA,5,50,50,2500,1201
6,"rw_parametric_n150","parametric",150,20,NA,6,50,50,2500,1251
7,"rw_parametric_n150","parametric",150,20,NA,7,50,50,2500,1301
8,"rw_parametric_n150","parametric",150,20,NA,8,50,50,2500,1351
9,"rw_parametric_n150","parametric",150,20,NA,9,50,50,2500,1401
10,"rw_parametric_n150","parametric",150,20,NA,10,50,50,2500,1451
11,"rw_parametric_n150","parametric",150,20,NA,11,50,50,2500,1501
12,"rw_parametric_n150","parametric",150,20,NA,12,50,50,2500,1551
13,"rw_parametric_n150","parametric",150,20,NA,13,50,50,2500,1601
14,"rw_parametric_n150","parametric",150,20,NA,14,50,50,2500,1651
15,"rw_parametric_n150","parametric",150,20,NA,15,50,50,2500,1701
16,"rw_parametric_n150","parametric",150,20,NA,16,50,50,2500,1751
17,"rw_parametric_n150","parametric",150,20,NA,17,50,50,2500,1801
18,"rw_parametric_n150","parametric",150,20,NA,18,50,50,2500,1851
19,"rw_parametric_n150","parametric",150,20,NA,19,50,50,2500,1901
20,"rw_parametric_n150","parametric",150,20,NA,20,50,50,2500,1951
21,"rw_parametric_n150","parametric",150,20,NA,21,50,50,2500,2001
22,"rw_parametric_n150","parametric",150,20,NA,22,50,50,2500,2051
23,"rw_parametric_n150","parametric",150,20,NA,23,50,50,2500,2101
24,"rw_parametric_n150","parametric",150,20,NA,24,50,50,2500,2151
25,"rw_parametric_n150","parametric",150,20,NA,25,50,50,2500,2201
26,"rw_parametric_n150","parametric",150,20,NA,26,50,50,2500,2251
27,"rw_parametric_n150","parametric",150,20,NA,27,50,50,2500,2301
