"task_id","run_id","imputation","n","m","k","chunk_id","chunks_per_run","reps","reps_per_scenario","base_seed"
1,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,1,50,50,2500,1.1e+07
2,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,2,50,50,2500,11000050
3,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,3,50,50,2500,11000100
4,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,4,50,50,2500,11000150
5,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,5,50,50,2500,11000200
6,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,6,50,50,2500,11000250
7,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,7,50,50,2500,11000300
8,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,8,50,50,2500,11000350
9,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,9,50,50,2500,11000400
10,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,10,50,50,2500,11000450
11,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,11,50,50,2500,11000500
12,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,12,50,50,2500,11000550
13,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,13,50,50,2500,11000600
14,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,14,50,50,2500,11000650
15,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,15,50,50,2500,11000700
16,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,16,50,50,2500,11000750
17,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,17,50,50,2500,11000800
18,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,18,50,50,2500,11000850
19,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,19,50,50,2500,11000900
20,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,20,50,50,2500,11000950
21,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,21,50,50,2500,11001000
22,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,22,50,50,2500,11001050
23,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,23,50,50,2500,11001100
24,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,24,50,50,2500,11001150
25,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,25,50,50,2500,11001200
26,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,26,50,50,2500,11001250
27,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,27,50,50,2500,11001300
28,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,28,50,50,2500,11001350
29,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,29,50,50,2500,11001400
30,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,30,50,50,2500,11001450
31,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,31,50,50,2500,11001500
32,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,32,50,50,2500,11001550
33,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,33,50,50,2500,11001600
34,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,34,50,50,2500,11001650
35,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,35,50,50,2500,11001700
36,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,36,50,50,2500,11001750
37,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,37,50,50,2500,11001800
38,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,38,50,50,2500,11001850
39,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,39,50,50,2500,11001900
40,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,40,50,50,2500,11001950
41,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,41,50,50,2500,11002000
42,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,42,50,50,2500,11002050
43,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,43,50,50,2500,11002100
44,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,44,50,50,2500,11002150
45,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,45,50,50,2500,11002200
46,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,46,50,50,2500,11002250
47,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,47,50,50,2500,11002300
48,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,48,50,50,2500,11002350
49,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,49,50,50,2500,11002400
50,"rw_n1000_m50_k5_20260901","pmm",1000,50,5,50,50,50,2500,11002450
